Summary:
Execution time: ,81 seconds
Total # of voyages: 1224
Number of installations (excluding depot): 8
Number of time windows: 2
Number of vessels: 5
Min. # of installations: 1
Max. number of installations: 8
Min. duration: 56
Max. duration: 80
Name: FarSeeker	 # of voyages: 250
Name: FarStar	 # of voyages: 234
Name: FarSymphony	 # of voyages: 241
Name: FarSearcher	 # of voyages: 250
Name: HavilaForesight	 # of voyages: 249
------------------------------------------------------------------------------------------------------------------------
Vessel: FarSeeker
Voyages: 
number: 5898	 cost: 91900,65	 capacityUsed: 830,72	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-7-6-1-4
number: 5954	 cost: 51603,98	 capacityUsed: 456,56	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-3-7-8
number: 6124	 cost: 62002,34	 capacityUsed: 767,68	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-3-6-2-8
number: 6300	 cost: 93209,54	 capacityUsed: 595,84	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-1-2-8
number: 6468	 cost: 92506,62	 capacityUsed: 670,16	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-1-3-7
number: 6528	 cost: 88470,89	 capacityUsed: 676,80	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-7-5-6
number: 6586	 cost: 87864,92	 capacityUsed: 486,68	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-3-5-4
number: 6643	 cost: 85441,07	 capacityUsed: 721,56	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-7-3-6-4
number: 6699	 cost: 84629,07	 capacityUsed: 440,20	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-1-8-7
number: 6719	 cost: 67262,12	 capacityUsed: 286,28	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-7-8-5
number: 6775	 cost: 88470,89	 capacityUsed: 597,40	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-1-5-6
number: 6935	 cost: 94021,53	 capacityUsed: 877,20	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-3-5-4-6
number: 6995	 cost: 85441,07	 capacityUsed: 647,24	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-2-6-4
number: 7051	 cost: 88470,89	 capacityUsed: 615,92	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-8-5-6
number: 7520	 cost: 100481,12	 capacityUsed: 999,80	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-3-1-6-4-5
number: 7692	 cost: 60487,43	 capacityUsed: 579,16	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-3-2-7-8
number: 7751	 cost: 87258,96	 capacityUsed: 690,24	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-7-3-5-6
number: 7924	 cost: 92506,62	 capacityUsed: 688,68	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-3-2-7
number: 7979	 cost: 84629,07	 capacityUsed: 458,72	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-7-8-4
number: 8001	 cost: 47265,27	 capacityUsed: 460,28	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-8-7-6
number: 8172	 cost: 91900,65	 capacityUsed: 769,84	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-2-6-1-4
number: 8229	 cost: 73721,70	 capacityUsed: 408,88	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-7-8-1-5
number: 8398	 cost: 89682,82	 capacityUsed: 799,40	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-7-5-1-6
number: 8568	 cost: 94324,51	 capacityUsed: 609,28	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-1-3-8
number: 8629	 cost: 87258,96	 capacityUsed: 660,68	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-3-6-4
number: 8800	 cost: 91900,65	 capacityUsed: 844,16	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-7-3-1-6-4
number: 9298	 cost: 98966,20	 capacityUsed: 811,28	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-1-3-2-7
number: 9469	 cost: 91088,66	 capacityUsed: 581,32	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-1-8-2-7
number: 9525	 cost: 88470,89	 capacityUsed: 629,36	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-3-5-6
number: 9583	 cost: 73721,70	 capacityUsed: 427,40	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-7-8-5
number: 9638	 cost: 83320,19	 capacityUsed: 472,16	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-3-7-8
number: 9694	 cost: 93318,61	 capacityUsed: 692,40	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-7-6
number: 9864	 cost: 89682,82	 capacityUsed: 738,52	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-8-5-1-6
number: 10037	 cost: 93718,55	 capacityUsed: 783,28	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-3-1-6-4
number: 10208	 cost: 88470,89	 capacityUsed: 812,84	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-7-3-5-1-6
number: 10264	 cost: 53724,86	 capacityUsed: 582,88	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-7-8-1-6
number: 10435	 cost: 91900,65	 capacityUsed: 627,80	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-3-2-8
number: 10606	 cost: 91900,65	 capacityUsed: 862,68	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-3-7-6-4
number: 10777	 cost: 82605,15	 capacityUsed: 550,00	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-1-5-8-7
number: 11274	 cost: 98360,24	 capacityUsed: 750,40	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-1-3-2-8
number: 11768	 cost: 98360,24	 capacityUsed: 985,28	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-7-3-4-1-6
number: 11938	 cost: 89779,77	 capacityUsed: 594,76	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-1-3-7-8
number: 12110	 cost: 89682,82	 capacityUsed: 751,96	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-1-5-3-6
number: 12281	 cost: 89682,82	 capacityUsed: 831,36	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-3-5-7-6
number: 12339	 cost: 51301,00	 capacityUsed: 601,40	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-8-7-6
number: 12503	 cost: 94627,49	 capacityUsed: 815,00	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-4-5-1-7-6
number: 12559	 cost: 93318,61	 capacityUsed: 631,52	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-5-4-6
number: 12618	 cost: 72412,82	 capacityUsed: 440,84	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-8-7-3-5
number: 12787	 cost: 91294,69	 capacityUsed: 801,80	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-2-3-6-4
number: 13280	 cost: 90894,75	 capacityUsed: 953,96	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-7-5-3-1-6
number: 13774	 cost: 97754,27	 capacityUsed: 924,40	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-2-3-1-4-6
number: 13944	 cost: 60184,44	 capacityUsed: 724,00	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-1-6-7-8
number: 14117	 cost: 81296,26	 capacityUsed: 563,44	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-1-5-3-7
number: 14281	 cost: 94530,54	 capacityUsed: 754,12	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-8-1-5-4-6
number: 14452	 cost: 89779,77	 capacityUsed: 613,28	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-8-7-3-4
number: 14623	 cost: 89682,82	 capacityUsed: 770,48	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-8-5-3-6
